Casos,Casos confirmados,Casos probables,Departamentos,Distritos,Provincias,Año,Eventos o daños,Semana
4,4,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2015,Dengue,1
1,1,0,TUMBES,SAN JACINTO,TUMBES,2015,Dengue,1
1,1,0,SAN MARTIN,JUANJUI,MARISCAL CACERES,2015,Dengue,1
2,2,0,LAMBAYEQUE,PITIPO,FERRE�AFE,2015,Dengue,1
1,1,0,LORETO,ALTO NANAY,MAYNAS,2015,Dengue,1
1,1,0,PASCO,PUERTO BERMUDEZ,OXAPAMPA,2015,Dengue,1
11,11,0,TUMBES,LA CRUZ,TUMBES,2015,Dengue,1
1,1,0,SAN MARTIN,SORITOR,MOYOBAMBA,2015,Dengue,1
53,53,0,LORETO,YURIMAGUAS,ALTO AMAZONAS,2015,Dengue,1
1,1,0,PASCO,CONSTITUCION,OXAPAMPA,2015,Dengue,1
3,3,0,PIURA,LOS ORGANOS,TALARA,2015,Dengue,1
24,24,0,LORETO,IQUITOS,MAYNAS,2015,Dengue,1
1,1,0,SAN MARTIN,TARAPOTO,SAN MARTIN,2015,Dengue,1
18,18,0,TUMBES,ZORRITOS,CONTRALMIRANTE VILLAR,2015,Dengue,1
7,7,0,LORETO,PUNCHANA,MAYNAS,2015,Dengue,1
1,1,0,HUANUCO,MARIANO DAMASO BERAUN,LEONCIO PRADO,2015,Dengue,1
1,1,0,CAJAMARCA,JAEN,JAEN,2015,Dengue,1
4,4,0,TUMBES,CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,2015,Dengue,1
1,1,0,MADRE DE DIOS,INAMBARI,TAMBOPATA,2015,Dengue,1
1,1,0,LORETO,CONTAMANA,UCAYALI,2015,Dengue,1
1,1,0,LORETO,NAUTA,LORETO,2015,Dengue,1
1,1,0,UCAYALI,CAMPOVERDE,CORONEL PORTILLO,2015,Dengue,1
7,7,0,PIURA,PIURA,PIURA,2015,Dengue,1
18,18,0,UCAYALI,CALLERIA,CORONEL PORTILLO,2015,Dengue,1
20,20,0,TUMBES,TUMBES,TUMBES,2015,Dengue,1
2,2,0,TUMBES,AGUAS VERDES,ZARUMILLA,2015,Dengue,1
1,1,0,SAN MARTIN,CASPISAPA,PICOTA,2015,Dengue,1
2,2,0,SAN MARTIN,BARRANQUITA,LAMAS,2015,Dengue,1
11,11,0,UCAYALI,MANANTAY,CORONEL PORTILLO,2015,Dengue,1
11,11,0,SAN MARTIN,RUMISAPA,LAMAS,2015,Dengue,1
2,2,0,PIURA,MORROPON,MORROPON,2015,Dengue,1
1,1,0,JUNIN,PERENE,CHANCHAMAYO,2015,Dengue,1
3,3,0,UCAYALI,IRAZOLA,PADRE ABAD,2015,Dengue,1
10,10,0,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2015,Dengue,1
2,2,0,PIURA,SULLANA,SULLANA,2015,Dengue,1
11,11,0,LAMBAYEQUE,PUCALA,CHICLAYO,2015,Dengue,1
6,6,0,UCAYALI,YARINACOCHA,CORONEL PORTILLO,2015,Dengue,1
1,1,0,LORETO,BELEN,MAYNAS,2015,Dengue,1
3,3,0,MADRE DE DIOS,LAS PIEDRAS,TAMBOPATA,2015,Dengue,1
1,1,0,SAN MARTIN,PAJARILLO,MARISCAL CACERES,2015,Dengue,1
8,8,0,LORETO,SAN JUAN BAUTISTA,MAYNAS,2015,Dengue,1
4,4,0,TUMBES,CORRALES,TUMBES,2015,Dengue,1
1,1,0,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,2015,Dengue,1
1,1,0,PIURA,MARCAVELICA,SULLANA,2015,Dengue,1
3,3,0,JUNIN,PICHANAQUI,CHANCHAMAYO,2015,Dengue,1
3,3,0,PIURA,TAMBO GRANDE,PIURA,2015,Dengue,1
1,1,0,PIURA,CURA MORI,PIURA,2015,Dengue,1
1,1,0,LORETO,PUINAHUA,REQUENA,2015,Dengue,2
1,1,0,LORETO,CONTAMANA,UCAYALI,2015,Dengue,2
6,6,0,TUMBES,LA CRUZ,TUMBES,2015,Dengue,2
4,4,0,JUNIN,PICHANAQUI,CHANCHAMAYO,2015,Dengue,2
0,0,0,LORETO,NAUTA,LORETO,2015,Dengue,2
20,20,0,TUMBES,TUMBES,TUMBES,2015,Dengue,2
0,0,0,PIURA,MARCAVELICA,SULLANA,2015,Dengue,2
0,0,0,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,2015,Dengue,2
0,0,0,PASCO,PUERTO BERMUDEZ,OXAPAMPA,2015,Dengue,2
6,6,0,TUMBES,CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,2015,Dengue,2
1,1,0,LORETO,LAGUNAS,ALTO AMAZONAS,2015,Dengue,2
0,0,0,SAN MARTIN,TARAPOTO,SAN MARTIN,2015,Dengue,2
12,12,0,PIURA,PIURA,PIURA,2015,Dengue,2
3,3,0,LAMBAYEQUE,PITIPO,FERRE�AFE,2015,Dengue,2
0,0,0,SAN MARTIN,SORITOR,MOYOBAMBA,2015,Dengue,2
0,0,0,HUANUCO,MARIANO DAMASO BERAUN,LEONCIO PRADO,2015,Dengue,2
1,1,0,LORETO,MAZAN,MAYNAS,2015,Dengue,2
8,8,0,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2015,Dengue,2
0,0,0,UCAYALI,CAMPOVERDE,CORONEL PORTILLO,2015,Dengue,2
0,0,0,PASCO,CONSTITUCION,OXAPAMPA,2015,Dengue,2
1,1,0,UCAYALI,MANANTAY,CORONEL PORTILLO,2015,Dengue,2
24,24,0,LORETO,IQUITOS,MAYNAS,2015,Dengue,2
1,1,0,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,2015,Dengue,2
1,1,0,TUMBES,PAPAYAL,ZARUMILLA,2015,Dengue,2
28,28,0,TUMBES,ZORRITOS,CONTRALMIRANTE VILLAR,2015,Dengue,2
1,1,0,TUMBES,PAMPAS DE HOSPITAL,TUMBES,2015,Dengue,2
2,2,0,JUNIN,CHANCHAMAYO,CHANCHAMAYO,2015,Dengue,2
1,1,0,LAMBAYEQUE,PUCALA,CHICLAYO,2015,Dengue,2
2,2,0,SAN MARTIN,JUANJUI,MARISCAL CACERES,2015,Dengue,2
0,0,0,TUMBES,AGUAS VERDES,ZARUMILLA,2015,Dengue,2
1,1,0,JUNIN,SAN RAMON,CHANCHAMAYO,2015,Dengue,2
0,0,0,MADRE DE DIOS,LAS PIEDRAS,TAMBOPATA,2015,Dengue,2
1,1,0,PIURA,MANCORA,TALARA,2015,Dengue,2
2,2,0,PIURA,CASTILLA,PIURA,2015,Dengue,2
1,1,0,PIURA,CURA MORI,PIURA,2015,Dengue,2
2,2,0,MADRE DE DIOS,LABERINTO,TAMBOPATA,2015,Dengue,2
0,0,0,SAN MARTIN,BARRANQUITA,LAMAS,2015,Dengue,2
0,0,0,UCAYALI,IRAZOLA,PADRE ABAD,2015,Dengue,2
1,1,0,UCAYALI,YARINACOCHA,CORONEL PORTILLO,2015,Dengue,2
0,0,0,LORETO,ALTO NANAY,MAYNAS,2015,Dengue,2
4,4,0,LORETO,BELEN,MAYNAS,2015,Dengue,2
0,0,0,MADRE DE DIOS,INAMBARI,TAMBOPATA,2015,Dengue,2
7,7,0,LORETO,SAN JUAN BAUTISTA,MAYNAS,2015,Dengue,2
1,1,0,SAN MARTIN,LA BANDA DE SHILCAYO,SAN MARTIN,2015,Dengue,2
1,1,0,SAN MARTIN,PAJARILLO,MARISCAL CACERES,2015,Dengue,2
1,1,0,SAN MARTIN,TOCACHE,TOCACHE,2015,Dengue,2
3,3,0,TUMBES,CORRALES,TUMBES,2015,Dengue,2
80,80,0,LORETO,YURIMAGUAS,ALTO AMAZONAS,2015,Dengue,2
1,1,0,PIURA,LAS LOMAS,PIURA,2015,Dengue,2
10,10,0,SAN MARTIN,RUMISAPA,LAMAS,2015,Dengue,2
0,0,0,PIURA,SULLANA,SULLANA,2015,Dengue,2
5,5,0,JUNIN,PERENE,CHANCHAMAYO,2015,Dengue,2
0,0,0,PIURA,LOS ORGANOS,TALARA,2015,Dengue,2
3,3,0,LORETO,PUNCHANA,MAYNAS,2015,Dengue,2
12,12,0,UCAYALI,CALLERIA,CORONEL PORTILLO,2015,Dengue,2
0,0,0,CAJAMARCA,JAEN,JAEN,2015,Dengue,2
2,2,0,LORETO,REQUENA,REQUENA,2015,Dengue,2
0,0,0,TUMBES,SAN JACINTO,TUMBES,2015,Dengue,2
8,8,0,PIURA,MORROPON,MORROPON,2015,Dengue,2
1,1,0,TUMBES,ZARUMILLA,ZARUMILLA,2015,Dengue,2
1,1,0,SAN MARTIN,PARDO MIGUEL,RIOJA,2015,Dengue,2
3,3,0,HUANUCO,RUPA-RUPA,LEONCIO PRADO,2015,Dengue,2
7,7,0,PIURA,TAMBO GRANDE,PIURA,2015,Dengue,2
0,0,0,SAN MARTIN,CASPISAPA,PICOTA,2015,Dengue,2
1,1,0,UCAYALI,CURIMANA,PADRE ABAD,2015,Dengue,2
5,5,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2015,Dengue,2
1,1,0,HUANUCO,PUERTO INCA,PUERTO INCA,2015,Dengue,2
0,0,0,LORETO,LAGUNAS,ALTO AMAZONAS,2015,Dengue,3
8,8,0,JUNIN,PICHANAQUI,CHANCHAMAYO,2015,Dengue,3
2,2,0,HUANUCO,RUPA-RUPA,LEONCIO PRADO,2015,Dengue,3
4,4,0,PIURA,CURA MORI,PIURA,2015,Dengue,3
0,0,0,UCAYALI,IRAZOLA,PADRE ABAD,2015,Dengue,3
1,1,0,CAJAMARCA,SAN JOSE DEL ALTO,JAEN,2015,Dengue,3
13,13,0,PIURA,TAMBO GRANDE,PIURA,2015,Dengue,3
1,1,0,LORETO,MAZAN,MAYNAS,2015,Dengue,3
5,5,0,UCAYALI,MANANTAY,CORONEL PORTILLO,2015,Dengue,3
0,0,0,SAN MARTIN,BARRANQUITA,LAMAS,2015,Dengue,3
3,3,0,UCAYALI,CURIMANA,PADRE ABAD,2015,Dengue,3
1,1,0,LAMBAYEQUE,PATAPO,CHICLAYO,2016,Dengue,1
6,6,0,LA LIBERTAD,PAIJAN,ASCOPE,2016,Dengue,1
7,7,0,JUNIN,PERENE,CHANCHAMAYO,2016,Dengue,1
24,24,0,AYACUCHO,SANTA ROSA,LA MAR,2016,Dengue,1
1,1,0,TUMBES,ZARUMILLA,ZARUMILLA,2016,Dengue,1
